행정구역,2025년10월_거주자_총인구수,2025년10월_거주자_연령구간인구수,2025년10월_거주자_0세,2025년10월_남_거주자_총인구수,2025년10월_남_거주자_연령구간인구수,2025년10월_남_거주자_0세,2025년10월_여_거주자_총인구수,2025년10월_여_거주자_연령구간인구수,2025년10월_여_거주자_0세
서울특별시  (1100000000),"9,246,276","42,804","42,804","4,454,997","22,010","22,010","4,791,279","20,794","20,794"
서울특별시 종로구 (1111000000),"135,791",426,426,"65,063",223,223,"70,728",203,203
서울특별시 중구 (1114000000),"116,927",564,564,"56,082",301,301,"60,845",263,263
서울특별시 용산구 (1117000000),"199,437","1,059","1,059","94,965",537,537,"104,472",522,522
서울특별시 성동구 (1120000000),"272,345","1,778","1,778","131,490",889,889,"140,855",889,889
서울특별시 광진구 (1121500000),"329,457","1,242","1,242","157,621",641,641,"171,836",601,601
서울특별시 동대문구 (1123000000),"342,157","1,715","1,715","166,780",898,898,"175,377",817,817
서울특별시 중랑구 (1126000000),"375,206","1,713","1,713","183,154",899,899,"192,052",814,814
서울특별시 성북구 (1129000000),"421,029","1,890","1,890","201,153",969,969,"219,876",921,921
서울특별시 강북구 (1130500000),"277,544",755,755,"133,409",401,401,"144,135",354,354
서울특별시 도봉구 (1132000000),"298,776",995,995,"144,162",507,507,"154,614",488,488
서울특별시 노원구 (1135000000),"483,044","2,217","2,217","231,145","1,134","1,134","251,899","1,083","1,083"
서울특별시 은평구 (1138000000),"453,875","1,937","1,937","214,600","1,010","1,010","239,275",927,927
서울특별시 서대문구 (1141000000),"298,454","1,309","1,309","141,064",671,671,"157,390",638,638
서울특별시 마포구 (1144000000),"355,484","1,781","1,781","164,986",915,915,"190,498",866,866
서울특별시 양천구 (1147000000),"423,878","1,605","1,605","206,231",775,775,"217,647",830,830
서울특별시 강서구 (1150000000),"547,103","2,587","2,587","261,319","1,330","1,330","285,784","1,257","1,257"
서울특별시 구로구 (1153000000),"383,061","2,046","2,046","187,219","1,034","1,034","195,842","1,012","1,012"
서울특별시 금천구 (1154500000),"222,349",876,876,"111,535",471,471,"110,814",405,405
서울특별시 영등포구 (1156000000),"369,028","2,310","2,310","180,023","1,185","1,185","189,005","1,125","1,125"
서울특별시 동작구 (1159000000),"370,618","1,827","1,827","178,785",946,946,"191,833",881,881
서울특별시 관악구 (1162000000),"474,982","1,542","1,542","238,765",775,775,"236,217",767,767
서울특별시 서초구 (1165000000),"409,057","1,894","1,894","194,302","1,005","1,005","214,755",889,889
서울특별시 강남구 (1168000000),"549,334","2,616","2,616","262,391","1,378","1,378","286,943","1,238","1,238"
서울특별시 송파구 (1171000000),"640,819","3,323","3,323","306,837","1,698","1,698","333,982","1,625","1,625"
서울특별시 강동구 (1174000000),"496,521","2,797","2,797","241,916","1,418","1,418","254,605","1,379","1,379"
